SAT Math,SAT Verbal,GPA,Credits earned,Family income,Days drinking (last 30 days),Income
4,5,354,175,30000,20,30000
3,4,166,18,31000,20,31000
6,5,388,33,53900,2,3750
4,4,392,121,35750,3,35000
4,4,310,61,37000,4,30000
5,3,33,3,133925,6,20000
4,4,363,133,49000,10,49000
4,4,382,111,83219,20,30000
5,6,344,120,67800,6,55000
3,4,297,40,137000,5,37000
4,4,232,120,24765,12,14000
5,4,365,151,61850,5,28000
4,5,289,135,80800,6,5000
2,1,240,77,48523,1,7023
2,3,144,18,105212,10,18200
3,3,239,195,130250,20,20000
6,6,292,34,150500,5,500
4,4,327,120,110500,8,40000
4,4,400,7,45000,20,20000
3,3,311,120,58050,4,18000
6,6,347,122,25000,15,25000
3,4,315,131,103000,5,28000
4,4,327,128,81776,0,14000
5,5,174,18,25250,5,25000
4,4,210,62,90000,20,13000
4,5,309,122,88500,4,27000
4,4,346,127,98850,16,39000
4,3,365,121,6758,7,3000
4,3,255,26,119750,4,44000
3,4,255,120,88250,3,18000
5,3,287,129,48000,3,48000
4,4,351,62,49000,15,20000
3,3,278,165,18000,10,18000
3,3,329,125,65755,1,36000
5,4,292,124,279104,8,52500
3,3,280,55,184000,10,2000
6,5,336,128,279104,27,70000
4,3,300,1,33750,30,32000
5,5,260,27,21750,5,20000
5,4,257,0,58000,2,12000
2,4,309,62,55600,1,20000
5,4,377,148,69750,2,16000
3,3,310,16,69900,6,32000
3,5,338,51,28250,1,14000
4,5,360,155,44387,0,7000
6,6,372,14,41250,0,25000
4,3,317,143,126400,6,25000
3,4,202,39,56250,1,21000
6,6,302,123,69250,2,15000
4,3,158,18,186760,10,35000
3,3,337,120,81000,5,26000
4,5,330,156,40000,0,20000
4,4,360,124,103250,4,43000
4,5,320,140,73000,3,10000
4,4,340,148,106770,1,36000
5,5,344,131,17020,1,17000
3,3,100,3,110000,5,30000
4,3,334,122,57000,5,57000
6,3,166,22,59005,5,37000
2,3,349,121,59400,5,38500
3,3,200,27,15000,30,15000
4,4,287,126,70862,2,32850
3,3,128,40,40080,1,10000
5,6,388,133,39800,4,18000
6,5,400,5,279104,10,112215
3,3,305,127,29250,10,25000
5,4,297,135,45000,4,45000
4,5,353,127,51250,1,48000
4,4,38,6,42500,10,15000
4,5,356,131,30050,5,30000
5,4,233,124,50000,5,30000
3,5,264,31,23000,8,23000
5,5,344,124,145000,5,25000
2,4,210,7,80500,10,32000
3,4,48,9,49000,6,26000
5,4,367,144,111040,3,70000
3,3,192,90,34250,3,19000
4,5,358,55,58750,2,25000
4,3,237,82,133250,3,18000
4,5,337,157,89000,0,14000
5,5,257,139,98014,6,12000
6,6,296,16,2750,29,2500
5,3,308,197,178280,20,58000
4,6,377,130,6850,10,6600
4,4,276,131,61849,3,60000
3,4,322,166,5000,4,5000
5,6,362,167,41000,10,38000
5,5,357,102,40450,2,20000
4,5,127,4,51000,20,13000
2,1,341,57,100001,3,45000
4,5,336,90,19000,15,19000
4,4,331,26,93250,0,17000
4,4,300,3,77000,4,6000
6,6,364,22,82250,1,28000
3,5,300,36,53650,4,13000
3,3,286,70,30000,2,30000
4,4,143,12,39608,0,24648
3,3,218,30,25000,6,25000
3,4,304,94,3000,5,3000
6,5,360,60,116080,4,41000
3,2,233,9,117000,2,38000
5,6,400,107,300,2,300
5,4,382,35,40100,5,40000
4,3,166,9,25200,5,17000
5,5,317,60,56600,7,28600
5,4,330,130,72000,5,112215
4,5,0,12,105750,3,30000
6,4,323,180,46250,20,23000
5,5,380,23,180250,3,25000
4,3,291,26,21000,5,6500
5,6,280,134,32500,2,15000
4,3,368,132,60250,4,40000
4,4,293,121,29500,3,12000
4,3,241,29,100000,12,45000
5,4,133,16,68000,4,28000
5,5,377,47,83350,4,3000
6,5,324,122,0,10,0
6,5,377,165,66500,6,60000
4,4,194,28,33000,10,33000
